cluster,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
01 - Smooth muscle cells (AlphaSMA+),1.451198,4.657997,2.3534849,0.7933712,1.2913789,2.2317617,-0.93113077,-5.792633,-1.5609257,-3.792129,1.2457244,2.9750931,-2.4559965,4.0199594,0.14568451,1.7624102,3.4901688,4.67492,-0.8027046,-0.6032623,-1.8606104,-1.2426864,5.8223925,2.3367903,-2.4755642,6.206934,1.0511615,3.6444097,-1.6131954,-4.5611525,0.10026037,-3.4124253,1.4692011,3.1214137,0.05222332,2.0033,0.049846005,1.3325441,-0.8325665,1.3235645,-2.0437064,2.1446307,1.1653422,0.88027227,3.2725933,1.2868994,1.3755804,-1.6363757,-1.7279127
"02 - Neutrophils (CD15+, CD11b+, MPO+, CleavedCaspase3+, Arginase1+, pCREB+, HistoneH3+)",-4.645049,-2.6005862,-1.7602208,1.5769663,2.5496004,3.8206086,0.837677,-0.31611788,0.98884547,-1.2101661,-2.8048382,-2.219555,3.8057618,1.2017384,3.3469706,-3.2075672,-1.8419609,-0.44200146,0.814793,-1.5166106,0.56072366,-2.6980984,2.7640727,2.7347195,4.400388,-1.1135317,-0.89535224,3.0376434,0.5613541,3.0873022,-0.21781296,-0.74838156,2.6101055,-2.9077086,2.4322116,3.2071006,3.3199115,-5.7058344,-7.35167,2.7473016,2.907699,-1.9965649,-4.816925,1.2088804,1.8604558,-3.9344378,2.3771,-1.4143525,-1.4166217
03 - ?(No marker),-4.460743,-2.545031,1.9661915,-2.2349062,-2.7710571,-1.8139908,0.88840854,-0.8664239,2.1884804,2.5864053,-0.9333997,2.6340284,-0.6669027,-0.45943606,-2.5704951,-0.19782647,4.5373893,2.3024695,-1.6471334,-1.3617009,0.019508034,1.524172,2.8257518,1.6942124,-4.6035376,-3.0894783,-0.14110589,-3.771269,-6.245924,-1.0060215,-4.889817,8.850802,-3.5939658,-3.3490407,0.67158914,1.1831088,2.9670744,-1.0478626,-4.2295055,0.23719567,-4.4358635,0.11633584,0.2940749,-2.9817681,-0.39835897,-0.06941868,0.30279523,-1.2293867,1.2202586
"04 - Macrophages (CD16+, CD206+, CD163+, CD68-, CD4dim)",5.8659654,-1.8872386,0.0048866523,-0.7578294,-0.6045037,-2.8775234,-0.28573376,2.9509256,0.48061073,1.7283076,-1.7235241,-3.1025636,3.843409,-1.217415,0.56566274,0.60484403,0.876078,2.8910527,2.304473,1.0924124,1.7314523,2.9836226,0.41525465,1.2978584,-0.4379325,0.8910663,-1.1051826,-0.49775535,-0.7021897,0.33744544,1.6701168,-2.3042502,-0.63915557,-0.9517369,0.46896443,1.943987,-1.8423063,-0.92071867,1.0393076,1.3230498,1.5232815,-5.205474,7.807227,-5.677733,5.6895227,-5.005297,-3.3166876,-7.187898,1.4206572
05 - Endothelial cells (CD31+),-1.8863521,4.7325716,-4.8759346,-1.6288362,0.1881552,1.7729285,3.7247148,0.5511483,1.3220203,-0.045693513,2.1487734,-4.482357,0.38462517,-3.4237769,-0.78071487,-1.9173967,-0.6047412,0.76611304,2.807334,0.941166,2.1305344,1.6713284,-1.5235181,2.8942087,-0.60030276,2.1965828,-2.4747422,-0.6114209,-1.5418233,4.2132535,1.3301581,-0.880549,-3.440887,0.38400993,1.0248332,-3.3134007,-2.1295528,3.7919717,-3.9457102,-0.6290614,-4.038189,1.7466817,-4.57604,2.0265887,5.3167734,5.827749,-6.9668317,-1.4844049,1.5310514
06 - Fibroblasts (CollagenTypeI+),4.736819,4.345926,2.0473986,0.17344743,-1.1815974,-0.0395983,1.6885413,-0.689084,-2.9001534,-3.9730728,-0.50659007,0.4272525,0.31029966,-0.028131379,0.5433146,-2.5105925,-0.9309598,-1.4495833,0.08560057,-1.4125096,-0.26178774,-1.1611612,-0.55945945,2.02902,4.9660716,-2.0225863,-0.30881596,0.097959995,-1.5374062,3.0086036,-3.4449172,4.571267,-0.08703641,-1.5373731,0.17540061,-0.56583816,-3.178146,-0.8743987,-0.29590824,2.0973778,6.2527876,-0.9084967,2.2835872,-4.8643975,-3.1423628,10.690335,3.093512,-2.7127693,0.011758973
07 - Epithelial cells (Keratin818+),-1.4027847,1.9064702,-6.8097696,0.4486627,-3.7356236,0.27689692,-3.1216395,1.4603686,2.5963986,1.927918,-0.49546543,2.1713254,-0.6219973,2.4286456,2.5820007,-1.5308656,1.7286742,0.21344946,-2.1170762,2.0224757,2.4948075,0.9977645,3.763025,-2.8893044,1.874646,-0.6966829,3.298434,-0.32974496,-0.7679456,0.0004129564,1.5511988,0.3625561,3.829803,5.120607,3.7738872,0.29808307,-3.9255385,-3.0329676,1.227342,-2.391416,0.25952253,1.2010617,-2.542674,-5.711758,-6.8568845,-0.56577635,-6.3461246,0.044795454,0.22340558
"08 - Macrophages (CD68+, CD163+, CD206+, CD16+, CD14+, CD4+)",5.6810145,-1.7867522,1.5330349,-1.0188618,-1.8370245,-1.179982,1.1473632,-1.5049404,0.78616273,-1.043318,-1.1341624,-1.1235789,1.4745973,-0.4972825,2.045385,-1.0561128,1.7729537,3.2236032,-0.3296175,1.8997455,-0.65233284,2.228852,4.760727,-1.2008988,1.8651745,-3.9910567,2.517415,0.8407812,3.4256501,4.951294,1.2026755,0.6191015,2.1495967,-2.9213917,-6.9098167,-2.0160904,2.852898,6.997263,-2.8939617,-3.2203546,-1.9282005,-1.6329708,0.17142533,4.9119015,-5.4829173,-1.0690786,-1.8120552,0.902298,-1.8647015
09 - Endothelial cells (CD31+),-3.5333884,3.7044435,-2.6797078,-3.0151844,0.07833299,1.3335123,4.05152,1.1984445,0.9572834,-0.8531792,1.7317845,-3.8627493,-1.5362395,-4.9554214,-2.410066,-2.0187232,2.4933877,3.5252314,1.550038,2.114526,2.3701074,-0.53140414,1.7652297,2.2451975,-1.5384135,2.3247936,-4.1223497,-3.3430748,-1.289856,1.8602335,-4.24534,-2.2477152,1.556638,3.2779825,-1.7522889,-2.4226255,0.9623755,0.8546386,3.0687416,0.45960203,5.5120525,-0.12097628,2.6448095,-0.804443,-4.5757866,-5.5787973,5.9559336,3.6548433,-0.8945041
10 - Epithelial cells (Keratin818+),-0.24745694,0.32046038,-6.984249,0.37186915,-3.2250066,-0.037740815,-3.3916833,0.38278967,0.6944252,5.549188,-1.4994735,2.140426,-1.004912,0.9902507,1.4931762,-0.17737183,2.5686529,-1.3117733,1.0681124,0.6852914,-4.943504,-1.4372172,-1.8938673,0.22486822,-0.9060776,-2.6776373,0.051657334,4.355507,1.500019,5.1554255,-3.288102,2.597086,-2.936905,1.7649899,-2.4433148,-0.10788968,-3.4977362,-1.4513323,3.009992,0.34143662,1.1842184,4.5290093,3.4782858,6.5923305,4.009148,-0.79753566,4.204659,-3.0136638,-0.8031425
"11 - CD4 T-cells (CD3+, CD4+)",1.0109676,0.9580642,-0.89846617,-1.5854274,6.130575,-2.098005,-2.2472591,-2.726543,-2.8221445,3.32674,4.818638,1.6033852,7.360769,0.22064649,4.8673625,-3.767431,-2.9076204,-4.0652666,1.1393299,-0.51239544,-1.2227378,3.1919003,-1.7412882,-2.3524852,-6.69036,-0.4001017,0.27961785,1.1002548,-5.042721,-0.6631743,0.6682626,-1.0730973,-1.1159601,-1.5859776,1.8575027,-0.2773821,0.6004096,4.388554,-1.592405,-1.0400249,3.6298776,3.4593809,-0.122388616,-1.7011914,-2.6441522,-1.432085,1.6631836,1.2735832,-0.06150672
"12 - Neutrophils (CD15+, CD11b+, MPO+, HistoneH3+)",-3.0931199,-5.2452507,-0.3684145,5.019327,2.1585536,2.641125,3.267097,1.2114645,-3.839626,-1.3274003,0.92279994,1.6189818,0.3159514,-0.74793863,1.1704874,-0.28443095,-2.902684,1.535063,-0.5803272,0.854932,-0.5014115,-1.67675,0.19966403,0.70538694,-1.2449961,-0.13853593,0.61882925,-0.27869612,2.4280975,1.0777329,2.2063115,0.54251766,-0.4111618,1.3758181,-1.5891762,-0.8906085,-0.6937183,0.0648689,2.7316868,0.47243568,-3.040333,0.35249645,2.5381665,-0.5848651,-2.1010742,1.2116096,1.6098261,0.7369974,13.937723
13 - ?(No marker),-1.4258206,1.810822,3.614697,-5.499402,-3.7563295,2.6032577,1.7131274,2.0010197,-2.2056766,4.1980247,-1.2811147,0.6256037,-2.138062,-1.0515972,1.3146753,3.1903343,-4.9628897,-0.77680933,-0.39168212,-0.5653685,2.276868,3.3142185,-2.6944313,-1.6811054,3.4608424,6.0560894,3.6504743,-0.90668654,-0.53066915,-0.03460515,5.8187065,2.515872,-0.7845306,1.9507934,-4.366104,-0.9221728,1.4151872,-1.7722367,-5.146175,1.6249782,0.843319,5.8509326,1.546269,-0.2379066,-1.7894576,-2.1801915,2.6287384,-3.5217586,-0.20810477
"14 - CD8 T-cells (CD3+, CD8a+)",1.0738586,-0.595991,-0.3836605,-4.190583,8.331459,-3.3098907,1.1595014,1.9504274,0.6090128,0.3387997,1.8303776,-0.32505688,-3.831185,-0.16394831,1.4525014,-2.6030645,1.8743842,-4.699836,-2.7173624,3.9679074,-0.8000914,2.2756891,-0.47770607,-0.4010597,3.1279583,2.3394196,-3.3670807,3.1515956,1.6080449,-1.884928,-2.5366876,1.6686643,-0.14403817,-1.2128867,-5.8947515,-0.21995671,4.615717,-5.9666853,4.533124,1.905812,-3.2248662,0.72432315,-1.0847085,-1.5107466,-0.13338624,1.1264204,-3.5656195,-0.09756075,-1.036171
15 - Endothelial cells (CD31+),-1.1507823,0.76580024,-5.733314,-4.590717,-1.3782575,2.8573122,3.6210394,-0.33128875,-0.6621529,1.084864,-1.3400947,0.4764581,0.9059107,2.7116325,-0.4830161,2.038118,-5.984927,0.6871312,-1.8423858,-1.5124129,0.21560131,-1.1324983,1.7861218,-3.078494,3.3794074,-0.37457192,2.744172,-3.3328905,1.6616356,-5.1910644,-6.5490417,-2.9071884,-0.15343688,-8.62862,-1.4861815,2.8860192,-1.4789946,4.1026535,3.6182332,-0.8967354,0.07088357,1.5005648,-0.01346524,-1.4952444,2.9967735,-0.23614597,-0.44304457,0.99334365,0.25250322
16 - Fibroblasts (CollagenTypeI+),3.7538793,4.574895,2.7447078,0.80983645,-1.8709475,0.12592685,0.32958943,-1.572076,-2.3936493,-5.7125063,2.006124,1.6966977,-0.17114913,0.9343629,-0.7477885,0.1555069,-1.9572078,1.2487552,-1.2129371,-2.7648757,1.5035199,-1.1124362,-3.0909767,0.16699526,0.96477205,-0.5567413,-1.4505614,-1.2916007,-0.8181483,5.207103,-0.14956379,4.85105,-0.69318676,-2.5317333,4.3399196,1.0518258,3.319081,-2.8720748,5.043216,-2.4008708,1.098497,5.1504374,-0.51143104,2.5891376,1.5406657,-7.9411597,-5.6724076,1.7916538,1.4588933
17 - ?(No marker),-2.8634171,-0.3310704,4.059815,-0.7262009,-5.5313406,-2.7540648,-2.871549,-4.044383,1.1290768,-1.682857,3.770807,0.42195386,-0.9899903,0.019963069,0.18800543,-2.2424664,-0.7111036,-1.8043338,2.1077626,0.21826954,5.6453805,1.3748839,-0.47444695,-3.1839464,-0.5227448,-0.12672636,-1.812243,4.0737877,7.0340304,3.5211015,-2.8558426,-4.306223,-2.4808853,-2.6026728,1.3028946,-2.7758427,-1.408872,-0.66662604,0.28863314,-1.2635853,-5.085444,0.958104,-1.6313809,-6.080448,0.8209778,-1.0132803,5.093977,-1.5512234,-0.2845893
"18 - Macrophages (CD16+, CD68+, CD206+, CD68+, CD163+, cKIT+, iNOS+, TTF1+, CD4dim)",1.1713673,1.6264015,-2.9843125,0.73326534,-4.628431,-1.3633211,-2.3114185,7.3627987,-0.6584266,-5.801302,0.8881824,1.2223853,-2.8436217,-0.93507063,2.9763827,-3.3135498,0.3422057,-0.17649567,-5.708094,-2.2354302,1.27174,3.1757448,-3.8414834,-4.8224096,-2.466574,-0.368278,-3.5765815,-1.5872651,-0.6347335,-4.535228,2.155339,-0.2022372,0.17177777,-1.3256819,0.728747,0.24284416,-0.10821651,0.88377774,-2.3715231,3.2027879,-0.52516156,-5.0077252,-0.9780795,4.715907,1.3056347,0.23007408,3.6304045,1.0635016,-0.15151648
19 - ?(No marker),-4.805542,2.1521692,-0.176949,-5.8927364,-0.23768254,-0.2533287,-0.9697806,0.5294652,-1.03601,-0.84621096,-0.8947352,-2.675942,0.89974666,0.4625197,0.46158776,1.9484352,-2.8768742,-0.71929866,3.0858808,-3.0195866,1.2204986,0.1240018,0.8804766,-2.0068226,-0.13289481,-2.222462,1.198646,3.4841952,-0.87177396,0.04594266,0.99885315,0.24557187,-0.81295013,4.0369644,3.7646058,2.5380874,7.57138,-1.0800521,3.8969147,-7.4231668,-1.3109897,-5.9493427,4.7173386,3.449716,-0.83351505,4.8110466,0.6363311,-1.3650732,-0.045375675
"20 - Epithelial cells (Keratin818+, SARSCoV2S1+)",4.5615554,0.25404757,-2.8099477,-0.5878703,-2.4988573,1.2297531,-1.8042372,-3.2264776,-0.03827303,3.645502,0.7236757,0.5148966,-2.5219855,-1.916224,-1.242471,5.541654,2.4103336,-1.8649952,3.636818,0.2389826,-4.3027205,-3.9498732,-6.5384502,3.5021493,0.15783906,-0.9909626,-0.13951756,-3.0396852,2.2532134,-2.4413543,3.0984087,-1.2527096,-0.79242283,-1.2605268,0.90644526,-1.5811739,5.400836,-0.1607903,-0.3365007,-1.3560761,1.128323,-3.9890492,-5.6187577,-4.1362123,-1.0939127,-0.2368109,1.582926,1.654032,0.78200686
"21 - Fibroblasts (CollagenTypeI+, CD56+, pSTAT3dim, Arginase1dim)",0.92330766,-2.60532,4.3000355,-5.854326,0.85904217,-2.7062545,3.1961477,0.48401383,-3.0223155,1.0021802,-2.8684154,3.385291,-0.86373204,-1.6481005,-1.848762,-3.0898528,-0.92072654,-2.2722466,-0.45457843,3.52898,-4.707785,-0.5532331,2.061768,-0.70719445,1.4918606,3.5278547,1.4695345,-2.2700686,-1.5434318,2.681897,0.9286379,0.42619473,1.2440708,0.8647646,4.9713855,-1.1580062,-7.855156,-1.2049241,0.7171882,-5.169807,-1.1664678,-4.479786,-3.4880152,2.1715965,3.2953265,-1.6241443,2.6763096,2.9810443,-0.66209346
22 - ?(No marker),-5.026595,-0.14379722,1.4383687,0.21985711,-2.1080234,-4.9184237,1.497546,-2.2667828,3.1470947,1.6041576,3.036722,-2.0508254,-1.5232654,0.32386017,-1.0795763,1.3604428,1.2170541,-2.8104508,0.8137282,1.2966802,-1.3639139,-0.38940793,3.1158373,-2.038467,0.7107497,-0.8705903,2.025735,-1.3254569,-1.3496882,1.2687931,6.294627,0.67419696,6.5468364,-5.0773163,3.979448,-3.4717252,1.8027078,2.1540658,5.0771165,8.138875,2.7848082,0.9680131,1.4130212,2.3740606,2.0567503,2.0612745,-0.33982348,-1.2740539,0.28365862
"23 - Neutrophils (CD15+, CD11b+, MPO+, CleavedCaspase3+, Arginase1+, pCREB+, HistoneH3+)",-3.5723865,-4.5308456,1.9287968,2.465883,-3.4075146,-0.4122828,-1.5306165,-4.124119,-2.4831712,1.2681795,-1.4930735,0.5623334,2.0462916,1.5263548,-1.7554499,-1.0625376,-1.7985036,-0.5368933,2.1579425,1.3153623,2.3079228,1.4740771,-3.9817853,1.8068364,2.78666,4.2825246,-0.6406777,0.5798302,-1.102787,-1.6747581,-2.9809542,-0.6366224,-6.0785317,1.1659757,0.052850597,0.7197257,-1.8807124,1.2404118,2.0626335,5.7351055,1.2604868,-4.1971726,1.6847669,4.509855,-4.969622,0.112061515,-5.905121,3.3615673,-3.9045165
24 - ?(No marker),-4.3468146,-1.7143084,3.7656763,1.4914522,-3.4611359,-4.8978066,-2.240765,-0.13181996,-2.924092,0.9588403,-0.8088499,0.103773504,-0.039677195,1.7307069,-1.3369503,-1.195802,-0.38924846,1.7583213,-1.5365995,1.5523446,-0.2040659,0.56231105,-0.12590173,-0.81277436,-1.6884413,-1.2479455,-3.1067393,-2.950893,0.41611695,-0.945227,-1.6536539,-3.263059,2.4715564,2.2831347,-6.3912034,0.7005265,2.1412742,-1.1180303,-0.9080538,-5.667243,9.389901,2.224514,-4.1668735,0.27680588,4.90772,2.962512,-3.642318,-1.550604,2.171318
"25 - Mesenchymal cells (Vimentin+, CollagenTypeI+)",4.77793,-0.8434001,0.410607,0.53102636,1.6898057,1.4640069,1.5114977,0.5042037,1.0770819,1.8690728,2.2399716,-0.77195024,4.9920664,1.6433377,-5.233124,5.4424977,-3.737022,-1.7974236,-2.012371,0.6353326,3.382068,-0.11530534,2.112712,-5.5336494,-4.364334,-0.37104282,0.35408717,-3.0662003,4.1679964,2.4017513,-5.043007,3.0954485,2.0556383,7.1841516,0.9907598,-1.2771716,1.371684,-1.666513,-0.9596089,4.784783,-0.14275235,-1.5577729,-2.806539,1.6160376,2.0720773,1.5296232,0.80615884,-0.25607485,-1.4796187
