cluster,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
"26 - Monocytes (CD14+, CD11bdim, MPOdim)",-1.7435361,1.7252307,4.6805043,-0.58112985,-0.2975236,3.355389,-5.04547,1.1296103,5.1044855,-1.3014157,0.8258838,-1.5107689,2.72728,-5.2802105,0.23398647,4.4999795,-2.1362267,-4.199715,-0.6446013,0.4650817,-2.0220456,-5.8682256,-0.16287544,-0.24741453,-2.6946259,-0.107514076,-4.605282,-1.7032604,-1.2788664,-0.41042918,-0.45653406,-1.6704686,3.6682155,-3.6562314,-3.0388129,1.9027597,-5.719071,-3.0819755,-1.5569633,-2.214391,-2.4805202,1.1824646,3.9532404,2.0174806,-3.319739,1.0253289,-2.9962444,-0.09873938,-0.67481816
"27 - Neutrophils (CD15+, CD11b+, MPO+)",-3.4859471,-4.2563357,-0.5612485,5.395598,1.2269912,2.5330915,3.9307067,1.7084258,-2.6200702,-1.5066619,1.2166772,0.09459317,0.6085471,-2.4490736,2.0537224,-0.86857855,-1.3482391,2.065861,-2.509866,1.0526536,-1.504729,-0.89030874,-1.6477306,0.98041797,-2.2170343,-0.8816724,0.28648615,-3.45927,3.7467492,-0.5836873,3.4650369,2.637834,-0.55193484,0.2438271,1.3279377,-1.48311,0.6202341,0.6515446,3.042273,-3.9342103,-1.2211727,2.6716409,2.2404087,-3.4577613,1.2592233,1.6963043,0.3018765,-2.8472133,-12.022812
"28 - Monocytes (CD14+, IL1beta+)",0.681101,-5.242093,-1.4110504,1.0760527,3.14335,0.080760136,-2.08624,0.92240506,-0.41846222,0.049997404,-2.8511987,-1.9546062,-5.561945,2.0625665,-4.665025,0.87203807,-1.6060343,-2.2875946,-1.0605271,-7.5659075,4.8164487,-0.73503673,-3.2687187,1.8171241,-0.55813265,0.40717605,0.84617937,4.6248918,-5.3648815,1.3093486,-1.9127591,0.3757262,6.3158207,-0.17744017,-1.2728627,-6.4792395,-1.7616706,3.4934855,-0.37542805,-2.753676,-0.16417515,0.1761926,0.806418,-1.4811428,0.7977749,-1.4106016,-0.2941743,-0.07401092,-1.3190985
"29 - Epithelial cells (Keratin818+, HistoneH3+, IL6dim)",-0.73418546,5.0542135,0.7809316,6.0459223,0.5774096,-4.3231335,0.035166346,3.4244797,-0.8409301,3.8463063,-3.7999842,-1.3315879,-0.22729582,0.5977626,-2.2073183,0.4129441,-0.33381104,-1.1531211,1.8130264,1.5413594,0.16693257,1.2894952,-0.56295335,-0.9330598,2.2612195,0.059708036,-0.30870554,0.80790216,1.402976,1.6644921,0.4012767,0.6125823,1.9308888,-0.091189146,0.67310226,5.048284,1.6793591,1.6026081,-3.7836947,-0.48870608,-2.7089431,2.3379638,4.883617,-3.4719963,3.3378854,1.2881576,1.0341738,11.221254,-1.0316814
30 - ?(No marker),-3.0478578,2.7199662,4.0070033,-2.918827,-1.814636,1.3448733,1.2803625,2.993826,-3.7695858,-0.97542405,-1.3264194,-0.65306515,5.887086,1.3446884,1.5302969,1.1289593,2.3942702,-0.6558217,2.4714215,-2.8157625,-1.7923564,1.1035942,-1.9445198,2.4900799,2.1618388,-7.4305115,-1.5403535,1.7378353,-1.7013459,-2.182706,0.6461502,0.6887103,3.2083285,4.9687395,-4.0853267,0.38251075,-2.927877,3.1393275,4.8276415,4.287547,-4.574347,0.37471738,-5.014124,-2.6626396,1.4671669,-2.7486875,0.25287634,0.35740846,-1.0465162
"31 - Macrophages (CD206+, CD163+)",4.337405,-3.9772983,0.5218453,-0.68476325,-1.2228464,-2.1843283,-1.8554356,2.1944222,1.0743834,1.1581111,-0.3416967,-3.4114795,3.9214873,-0.23114187,1.2426236,1.8132375,0.16551998,4.7101116,-0.11558906,0.841128,4.0913997,4.5355554,-0.5969862,6.2493935,0.9330702,-0.5329991,1.7261742,-1.6280768,-2.3796847,-2.1419542,-0.5095523,-3.6460643,1.4452016,-2.0979335,3.1625435,-0.5851654,-0.083894655,-5.8608193,3.41881,-1.1645176,-2.368093,6.350915,-2.2426796,4.123276,-1.203774,4.696856,4.5320024,2.6403382,-0.0981021
"32 - Proliferating cells (Ki67+, MPOdim, HistoneH3dim)",2.5919638,-3.3939424,-0.68322426,0.7881689,-2.0970485,-0.14835858,5.665543,-1.5022633,5.0833635,-3.0473256,-3.402132,-3.1631246,2.221486,0.46770856,-4.5934243,0.78201306,0.6812885,-1.4495862,-1.3166146,0.6024964,-0.81888974,-2.258494,1.4856547,-6.5032177,1.1152961,-1.5264544,-3.9655516,5.296302,-5.2078323,-2.2030363,5.4586554,-1.0900147,-7.0508723,1.2913065,-0.96671355,0.90096915,-0.34349835,-0.43021783,1.2940633,-1.4848514,2.0258062,4.0426226,-1.6336626,-1.7862971,-0.49886292,0.0763454,1.8979349,1.3572326,-0.097358376
"33 - NK-cells (CD57+, CD16+)",-2.5260239,0.2045156,-0.36275774,0.10048874,3.8817966,-4.98602,-1.0061438,5.0662384,6.2733974,-3.1865468,2.472068,4.1175013,0.17315723,0.63917696,-0.7315272,4.6302404,-0.85991323,0.9302223,1.9142661,-4.7625256,1.7233906,0.7851405,1.3167367,3.7088056,-1.2933755,2.9141033,4.034708,-0.15167534,1.8943653,4.0636225,2.8952022,1.3766056,-4.612555,-1.0102296,-3.856779,5.2741203,-3.0478933,1.8728516,2.7012796,-0.26194096,3.4199536,-1.8555957,-4.380843,-0.8478767,-0.8130914,0.25005654,1.5062047,0.723462,-1.1014519
34 - ?(dim markers),0.077225864,-2.2319903,0.41739312,-6.531958,2.070098,-2.436801,-0.67237824,5.01702,-5.3292203,-2.1176019,-2.3082173,-0.3264311,-4.8050575,0.30342817,-2.5320034,1.3449285,-0.7558489,2.5290675,2.3499548,-0.122532174,-1.891309,-3.0652072,1.6432376,0.29861256,-4.6063395,-5.5483193,-0.19367844,1.8849331,4.4536786,0.25501326,0.3490734,-3.8655734,-2.9581661,-0.44643477,4.468381,0.04524514,-0.9149301,-0.39427608,-3.8572094,4.9607477,1.9330726,4.8380823,1.0184121,-0.45644698,-3.4159603,0.4004866,-3.8667264,0.6588024,-1.1382865
35 - ?(iNOS+),-1.4265584,-1.151685,0.30219257,-1.3083227,6.226469,2.3504415,-5.6780796,-4.11073,2.3908007,-2.1390963,3.1136813,-0.49694508,-3.005796,-0.16356021,-5.0012946,-0.8602464,0.19917369,0.428146,-1.3168573,2.6329517,0.98294973,4.4514666,-2.2952497,-0.63642293,7.4403477,-6.978178,0.06505579,-5.5821266,0.100283325,-0.73850125,1.8609279,-0.4746616,-1.5367997,3.2392116,1.5492195,3.569671,-2.1760833,2.869233,-1.8958795,-0.4709983,0.29000103,1.7159781,2.0968297,1.1778296,1.4603394,-1.1545485,2.2200994,-1.9508367,0.70816666
"36 - Mast cells (MastCellTryptase+, CD11c+, cKIT+, Vimentindim, Arginase1+, pCREBdim)",-1.1859329,6.1147027,0.8966621,2.3413646,3.0574546,1.3173892,0.68472016,-2.3263056,-1.4353323,2.7177918,0.53007513,-2.3519363,-1.1269423,1.2253287,-1.8763827,0.06884843,-1.4598061,3.5482287,1.9270597,0.42668605,2.7309127,2.2068775,1.371264,-1.020745,-2.8162856,-5.2623887,2.7974842,2.4488325,1.729328,-5.0560784,3.3779004,3.3862252,-2.6482544,-4.011152,-3.082416,-5.8216944,-5.3698835,-6.9380465,-0.095745325,-1.5195667,2.3047116,-4.139786,-0.34594536,1.8146417,0.6938073,-1.5303457,-0.10507226,2.3460965,-0.4742437
"37 - ?(CD31+, AlphaSMA+, Vimentin+, SARSCoV2S1dim, pSTAT3dim, CD56dim, IL1betadim, CD123dim, pCREBdim)",1.6473386,1.6456649,4.64013,1.7475694,-1.0347258,1.6707621,0.76758456,0.09146795,3.394945,3.5855184,0.11635572,-0.71882176,-3.8484101,-7.7750015,1.3225265,-4.941103,-3.4543405,0.28121948,-5.3837976,-1.0788722,-0.14061898,-2.2811584,-0.5613371,0.9073958,-1.7242134,-4.123325,8.728769,2.182367,-2.9220674,1.0927211,-2.265094,-5.054963,-2.440558,2.6426868,-0.42880863,2.4123273,2.1310532,-0.07889867,2.4549081,2.7921069,0.33673823,-1.0174108,-1.3861976,-0.80682945,2.0369606,-0.08006886,-1.4384458,0.6498188,-0.2597559
"38 - Neutrophils (pCREB+, CD15dim, CD11bdim, MPOdim, HistoneH3dim)",-0.21800905,-0.98509073,3.40727,1.4290363,-0.3327081,4.096813,-0.917228,2.332303,1.7653997,-4.3423324,-3.088249,-8.992687,-1.9091343,1.6852412,2.585099,-0.71570367,4.8014445,-5.9970355,4.1546683,1.2849393,-2.1450324,3.7347147,-0.46634597,-1.1913242,-3.0794458,2.7383354,6.4244614,-1.3683012,3.0503871,-2.7338648,-3.8608775,3.174255,-1.2901056,-0.17188497,1.8991859,0.7772459,-0.78282714,1.8469912,0.7115317,-1.6174097,2.7922568,2.2590132,-1.3936341,0.16114652,0.4442127,-1.0969597,-0.34221798,-0.31890208,1.9900668
"39 - Dying cells (C5bC9+, Keratin818dim)",0.40067002,-0.026134998,0.6819885,0.01217626,-0.31349865,-6.0039463,7.4685793,-2.3369029,0.017468333,3.1739354,4.6700163,-3.314726,-0.6836177,1.5376625,4.4961357,1.6658257,3.9376187,-4.583791,-4.3798733,-6.65934,2.4057817,-3.0596466,0.034929216,3.203053,2.3670592,-1.8278661,-0.6333235,-1.798316,3.7123272,-3.344488,-0.7488029,-1.0485768,-1.5220258,3.2398653,1.6952366,1.1627569,-3.3826737,-0.21001443,-3.515093,-2.3048587,0.4243132,0.5715399,2.6884296,2.9070349,-1.0193837,-1.6764246,-0.8514026,-0.14408469,0.8799055
40 - B cells (CD20+),-1.8605514,1.1560787,0.14033048,-0.60174453,2.1827462,-0.63460183,2.5736904,-4.86094,5.2970343,-0.9291777,-7.4178534,2.9594038,1.6639183,-3.9950085,0.7684431,1.359775,-0.030741729,2.9131484,-2.040779,-6.752589,-5.897499,8.502062,-3.3908644,-1.5390779,-0.83751905,0.58722377,-2.0822606,0.2917421,4.796765,0.3779468,-1.3867316,-1.792522,2.1356344,0.9567708,2.246755,-2.7930796,-0.3390956,-1.6715271,0.029927045,0.97242266,1.2430475,0.7519804,0.9730777,-0.70271623,-1.0816708,0.9665537,-1.6314223,0.5731934,1.2048839
"41 - Dying cells (CleavedCaspase3+, C5bC9dim, IL6dim, pSTAT3dim)",0.010249764,0.63255316,3.3937998,-0.3661941,2.7105207,6.01254,1.5587717,3.4672487,0.5176626,3.5178418,-0.85743517,4.109294,1.4465207,5.2951436,-0.70078886,-3.3099914,8.560865,-0.16615659,1.8652534,-4.422326,2.7952602,-1.8876014,-1.928764,-4.915728,0.37332267,0.15241742,0.8145097,-5.343256,-0.7937082,4.1593204,1.5002766,-6.2548184,-1.9866302,-2.282608,-0.8293462,-1.827762,1.2494838,-2.227781,1.2550819,-0.038011782,-0.10626048,-0.1241076,1.8020651,0.92202055,0.0016899407,2.4681792,-0.7268787,0.56236535,-0.5600517
"42 - Dendritic cells (CD11c+, CD11bdim)",2.1489825,-0.44132978,1.7937844,0.47291636,-0.89997476,-1.3806751,1.9029431,3.848921,7.1191406,0.6053945,2.5411735,5.09214,1.0701373,0.08672595,-2.6968954,-7.7693152,-3.5090318,1.6629094,8.756792,-1.2434536,-0.851607,-3.075109,-0.92700064,0.6111208,2.089682,-0.0055915117,-0.02291319,0.70629686,2.54641,-7.430833,-1.4067993,2.4345791,2.5630496,2.2119627,1.0130572,-2.0988114,1.3815677,0.9532093,-1.2479084,-1.122576,0.03139563,2.4452262,1.1602068,2.046676,-0.048429966,-0.51037204,-0.7779589,-1.5896703,0.41798735
"43 - ?(pSTAT3+, CD31dim, CollagenTypeIdim)",-1.0821,3.9325404,0.16599163,3.7228026,2.3319979,-4.630396,-4.4374323,2.4908133,-0.3135307,-1.9411364,-5.678705,0.9359081,2.1702008,-0.77124923,1.8686992,2.135905,-2.03917,-3.0140238,-0.9387377,-0.006569326,-0.76212734,-2.7527742,5.273426,0.8661786,4.1923785,-0.018552989,0.70960045,-4.811963,-1.5451887,-1.4180325,-1.7897851,-2.326653,-6.2029505,1.4585614,0.7026083,-9.695233,2.8920813,1.1421924,0.07981449,0.063576214,-1.6705966,0.9506181,-0.0639984,0.35043553,0.13738364,-2.218985,1.0267675,-2.4441261,0.23206457
"44 - Epithelial cells (Keratin818+, pCREB+, iNOS+, C5bC9+, IL6+, CleavedCaspase3+, area+, HistoneH3dim, CD11bdim)",-0.4602226,4.8564262,1.6701512,5.094466,2.7603054,-3.1029532,2.144706,1.7926114,-2.2715406,4.6832004,-3.1467474,-2.3975053,-0.98922026,0.239743,-4.912507,-0.42051554,0.24884641,1.7935936,-0.755602,1.1080726,-0.22224188,-0.15359282,-2.8284159,-2.0546825,-0.41961953,1.2857621,-1.6721797,1.0640686,0.21663725,-0.20718157,-1.3275568,-1.1485751,1.3559335,-2.8164814,2.696447,4.9489923,-0.6540418,2.2328396,1.6049294,-1.2326119,-2.4265327,0.043700933,-4.721786,2.6634727,-6.782735,-1.1232985,2.027617,-9.454935,0.4402119
"45 - ?Artifacts(CD45+, SARSCoV2S1+)",-3.225602,0.59616387,1.2676613,-2.4883847,1.2753856,-2.2048993,-1.3969152,2.7106738,1.9117472,-1.3404049,3.8177352,-3.0243504,5.5189934,2.349305,-1.0495086,1.5744016,3.0720453,7.0613723,-5.8529215,3.1463757,-3.5658624,-4.6903763,-7.3329086,-2.232853,3.130293,2.406479,5.062726,4.2404175,0.32182097,0.23070067,-2.3654423,1.1290698,-0.22707316,-0.4051214,1.4432161,-4.078472,0.0042098016,0.8689476,-2.6248689,-0.6109223,0.7085199,-0.7853669,1.132416,-1.4938059,0.26514232,-0.18788844,-0.2678632,0.9147732,1.0384176
"46 - ?(CD11bdim, IL6+)",1.1641278,-2.7338908,2.1485066,0.40116102,2.3216527,0.05164206,-4.5061083,-0.24498269,-1.2224898,4.653961,1.5796179,-4.466288,-3.1902792,-3.9580956,6.265958,0.74686795,0.08594409,7.2580333,3.2312105,-5.688901,-0.6757451,-2.7505934,2.9967399,-7.06283,3.8127172,2.389585,-4.302186,-0.85535884,-0.44634014,-0.18643141,-0.90141416,4.086268,-1.3615912,0.7706257,1.1347269,0.61749697,-1.5901148,1.593436,1.9875747,1.0344435,0.35951287,0.4579743,-3.0385394,-0.6794259,1.0401201,1.1159728,-0.069268495,1.7565181,-0.02518773
47 - Club cells (TTF1+),-0.3288199,0.30483896,-0.8256377,-2.2050264,3.212685,-3.034225,1.3491446,-4.4196663,1.0066642,-2.5531375,-7.831061,3.35009,0.25580645,-3.2955818,5.407245,1.0469053,2.6967504,1.077851,2.0403206,4.9060087,9.5966835,-5.892301,-5.0253496,-2.2626116,-2.231674,-1.0276172,1.872045,-0.8345431,0.36462992,-1.5168252,0.385862,2.4389606,2.039716,0.6663579,-0.4614061,1.5751827,-0.8032629,1.6138854,0.2777475,0.97364724,0.37309498,1.002785,-0.30286524,1.3121642,1.9095498,0.7577029,0.57673633,-0.4284376,0.32583296
"48 - Proliferating cells (Ki67+, CD31dim, MPOdim)",0.030074641,0.6328151,4.6305428,-1.0890322,0.43227977,5.932616,-0.662768,3.8103402,3.0600457,5.1549234,-1.4604626,3.521657,-0.38410723,1.0295553,2.015228,2.466967,0.65816224,-0.77304596,-5.24414,3.779817,3.9123392,1.4761994,2.1170292,4.487012,0.5273539,-0.8239478,-6.0047317,5.039463,3.143346,-1.4643579,0.51428366,2.167785,-1.6603392,-1.3353446,5.0971437,-1.8059359,0.774062,5.980159,1.7217188,-1.4044784,4.5804663,-0.4553816,-0.54537594,0.22049576,0.9656852,0.44903293,-0.3112583,0.84016025,1.3365352
"49 - Macrophages (CD68+, CD206+, CD4+, CD163+, CleavedCaspase3+, CD123+, CD11c+, CD56+, TTF1+, IL6+, Arginase1+, cKIT+)",-0.92295617,-1.3787107,0.036634225,3.9708421,0.1271224,0.69410145,4.0599976,2.9461389,-2.810465,-1.7916338,4.753064,5.714322,-1.0859916,-6.465062,1.1209514,7.8803325,3.560536,-1.0815284,4.6120853,2.1678014,0.5278477,4.173637,0.36233813,-3.888691,3.855712,-2.0812056,1.9119034,4.0487156,-3.976305,-0.7987535,-4.848422,-2.6633646,0.85835487,-1.0312676,1.616794,-0.75870395,0.029271841,-1.0432081,-2.4092975,-1.6223011,1.8772364,0.04954055,-0.24111956,1.4193568,0.61911356,-0.65704775,-1.3124657,-0.98816764,-0.5762103
999 - ?(),0.09621408,0.2601707,2.4489615,1.1991923,0.49250954,-0.63281,4.117236,0.19976646,5.28819,-0.3277852,0.2763413,-0.8279517,-5.9551764,9.160052,7.345496,3.1825411,-5.908413,2.6701775,2.5379915,4.3263364,-2.7073288,0.9701705,-3.3651638,-0.24783084,-1.6288589,-2.8322415,-2.6130037,-2.2701285,-4.6320605,3.0234501,-2.3522046,-2.2243903,-0.18714517,1.4879769,0.23870051,-1.0294235,-0.6878727,-0.3670992,-0.7397096,0.24798334,-1.2463048,-1.7631202,0.24807096,-0.61331475,-0.88041395,-0.55164707,0.633338,-0.11810683,-0.88009685
